package name,package version(s),MSC ID's
rxnt-authentication,0.0.5,MSC-2025-8500
rxnt-authentication,0.0.6,MSC-2025-8501
rxnt-healthchecks-nestjs,1.0.2,MSC-2025-7992
rxnt-healthchecks-nestjs,1.0.3,MSC-2025-7999
rxnt-healthchecks-nestjs,1.0.4,MSC-2025-7993
rxnt-healthchecks-nestjs,1.0.5,MSC-2025-7995
rxnt-kue,1.0.4,MSC-2025-7984
rxnt-kue,1.0.5,MSC-2025-7985
rxnt-kue,1.0.6,MSC-2025-7981
rxnt-kue,1.0.7,MSC-2025-7980
swc-plugin-component-annotate,1.9.1,MSC-2025-7987
swc-plugin-component-annotate,1.9.2,MSC-2025-7988
tbssnch,1.0.2,MSC-2025-8122
teselagen-interval-tree,1.1.2,MSC-2025-8128
tg-client-query-builder,2.14.4,MSC-2025-8136
tg-client-query-builder,2.14.5,MSC-2025-8137
tg-redbird,1.3.1,MSC-2025-8133
tg-seq-gen,1.0.9,MSC-2025-8109
tg-seq-gen,1.0.10,MSC-2025-8119
thangved-react-grid,1.0.3,MSC-2025-8108
ts-gaussian,3.0.5,MSC-2025-7983
ts-gaussian,3.0.6,MSC-2025-7986
ts-imports,1.0.1,MSC-2025-8115
ts-imports,1.0.2,MSC-2025-8117
tvi-cli,0.1.5,MSC-2025-8112
ve-bamreader,0.2.6,MSC-2025-8114
ve-editor,1.0.1,MSC-2025-8118
verror-extra,6.0.1,MSC-2025-8100
voip-callkit,1.0.2,MSC-2025-8098
voip-callkit,1.0.3,MSC-2025-8096
wdio-web-reporter,0.1.3,MSC-2025-8099
yargs-help-output,5.0.3,MSC-2025-8097
yoo-styles,6.0.326,MSC-2025-8101
@art-ws/fastify-http-server,2.0.27,MSC-2025-8523
@art-ws/http-server,2.0.25,MSC-2025-8522
@art-ws/openapi,0.1.12,MSC-2025-8521
@nativescript-community/text,1.6.13,MSC-2025-8028
@operato/input,9.0.47,MSC-2025-8539
@operato/input,9.0.48,MSC-2025-8526
@teselagen/bio-parsers,0.4.30,MSC-2025-8540
@teselagen/bio-parsers,0.4.29,MSC-2025-8531
@teselagen/file-utils,0.3.22,MSC-2025-8529
@teselagen/file-utils,0.3.21,MSC-2025-8532
@teselagen/ove,0.7.40,MSC-2025-8542
@teselagen/ove,0.7.39,MSC-2025-8534
@teselagen/sequence-utils,0.3.33,MSC-2025-8533
@teselagen/sequence-utils,0.3.34,MSC-2025-8538
@teselagen/ui,0.9.9,MSC-2025-8541
@teselagen/ui,0.9.10,MSC-2025-8527
another-shai,1.0.1,MSC-2025-8524
react-jsonschema-rxnt-extras,0.4.9,MSC-2025-8528
react-jsonschema-rxnt-extras,0.4.8,MSC-2025-8535
react-jsonschema-rxnt-extras,0.4.7,MSC-2025-8530
react-jsonschema-rxnt-extras,0.4.6,MSC-2025-8536
tg-redbird,1.3.2,MSC-2025-8525
ve-bamreader,0.2.7,MSC-2025-8537
ve-editor,1.0.2,MSC-2025-8553
@art-ws/db-context,2.0.24,MSC-2025-8550
@operato/board,9.0.35,MSC-2025-8554
@operato/board,9.0.47,MSC-2025-8551
@operato/board,9.0.48,MSC-2025-8548
@operato/board,9.0.49,MSC-2025-8543
@operato/board,9.0.50,MSC-2025-8546
@operato/board,9.0.51,MSC-2025-8544
@things-factory/attachment-base,9.0.42,MSC-2025-8545
